"id","time","title","type","day"
"4690","7:30 AM - 5:00 PM ","ASA Board of Directors Meeting (Closed)","ASA Meetings and Events ","Friday, August 1, 2025"
"4691","7:30 AM - 5:00 PM ","ASA Board of Directors Meeting (Closed)","ASA Meetings and Events ","Saturday, August 2, 2025"
"5157","7:30 AM - 6:00 PM ","JSM Help Desk/Press Desk","JSM Hours ","Saturday, August 2, 2025"
"5158","7:30 AM - 6:00 PM ","JSM Main Registration","JSM Hours ","Saturday, August 2, 2025"
"2714","8:00 AM - 5:00 PM ","Association for Clinical and Translational Statisticians Annual Meeting - Closed","Affiliate Meetings and Events ","Saturday, August 2, 2025"
"5159","8:00 AM - 5:00 PM ","Exhibitor Move-In and Lounge","JSM Hours ","Saturday, August 2, 2025"
"4515","7:30 AM - 10:00 AM ","Joint COP-Editors Meeting","ASA Meetings and Events ","Sunday, August 3, 2025"
"5160","7:30 AM - 8:30 PM ","JSM Help Desk/Press Desk","JSM Hours ","Sunday, August 3, 2025"
"5161","7:30 AM - 7:30 PM ","JSM Main Registration","JSM Hours ","Sunday, August 3, 2025"
"5162","7:30 AM - 10:30 PM ","Quiet Reflection & Mindfulness Area, sponsored by AstraZeneca","JSM Hours ","Sunday, August 3, 2025"
"5093","8:00 AM - 12:30 PM ","Association for Clinical and Translational Statisticians Annual Meeting - closed","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"5061","8:00 AM - 12:00 PM ","Council of Sections Governing Board Meeting","ASA Meetings and Events ","Sunday, August 3, 2025"
"5163","8:00 AM - 6:00 PM ","Exhibitor Lounge","JSM Hours ","Sunday, August 3, 2025"
"5164","8:00 AM - 11:00 AM ","Exhibitor Move-In","JSM Hours ","Sunday, August 3, 2025"
"2720","8:00 AM - 12:00 PM ","NISS Writing Workshop in-person","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"5083","8:30 AM - 12:00 PM ","Caucus of Academic Representatives Chairs Workshop","ASA Meetings and Events ","Sunday, August 3, 2025"
"4289","8:30 AM - 5:00 PM ","Deep Learning Methods in Advanced Statistical Problems","Professional Development Course/CE ","Sunday, August 3, 2025"
"4288","8:30 AM - 12:30 PM ","Harnessing Optimization in Bayesian Inference","Professional Development Course/CE ","Sunday, August 3, 2025"
"4317","8:30 AM - 5:00 PM ","Practical Considerations for Adaptive Clinical Trials Using Bayesian and Frequentist Methods","Professional Development Course/CE ","Sunday, August 3, 2025"
"4303","8:30 AM - 12:00 PM ","Skills for Statistical Writing: Tips and Tricks for Improving Written Communication, Part 1","Professional Development Course/CE ","Sunday, August 3, 2025"
"4311","8:30 AM - 12:30 PM ","Soccer Analytics Using Machine Learning","Professional Development Course/CE ","Sunday, August 3, 2025"
"4308","8:30 AM - 12:30 PM ","Statistical Tools for Analysis of Nonprobability Samples","Professional Development Course/CE ","Sunday, August 3, 2025"
"4307","8:30 AM - 12:30 PM ","Tidy Survival Analysis: Applying R's Tidyverse to Survival Data","Professional Development Course/CE ","Sunday, August 3, 2025"
"5165","9:00 AM - 7:00 PM ","Speaker Ready Room, sponsored by AbbVie","JSM Hours ","Sunday, August 3, 2025"
"5166","10:00 AM - 5:00 PM ","Nashville Restaurant and Tourism Information Center","JSM Hours ","Sunday, August 3, 2025"
"2719","12:00 PM - 2:00 PM ","NISS Affiliate Luncheon","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"3131","12:15 PM - 1:45 PM ","Funding Opportunities for Statisticians and Data Scientists","ASA Meetings and Events ","Sunday, August 3, 2025"
"2774","12:15 PM - 2:00 PM ","JSDSE Editorial Board Meeting","ASA Meetings and Events ","Sunday, August 3, 2025"
"4693","12:30 PM - 1:30 PM ","JSM First-Time Attendee Orientation and Reception","ASA Meetings and Events ","Sunday, August 3, 2025"
"5089","12:30 PM - 2:00 PM ","Leadership Support Council","ASA Meetings and Events ","Sunday, August 3, 2025"
"3639","12:30 PM - 1:50 PM ","SPAIG Committee Lunchtime Speaker (Added Fee)","Lunchtime Speakers ","Sunday, August 3, 2025"
"2730","12:30 PM - 2:00 PM ","Statistica Sinica Editorial Board Meeting (By Invitation Only)","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"5167","1:00 PM - 6:00 PM ","ASA Booth #","JSM Hours ","Sunday, August 3, 2025"
"5168","1:00 PM - 6:00 PM ","ASA Store","JSM Hours ","Sunday, August 3, 2025"
"4281","1:00 PM - 5:00 PM ","Bayesian Transmission Process Modeling: Epidemics, Invasive Species, and Beyond","Professional Development Course/CE ","Sunday, August 3, 2025"
"5060","1:00 PM - 4:00 PM ","Council of Sections Business Meeting","ASA Meetings and Events ","Sunday, August 3, 2025"
"5169","1:00 PM - 6:00 PM ","EXPO 2025","JSM Hours ","Sunday, August 3, 2025"
"5170","1:00 PM - 6:00 PM ","JSM Career Service","JSM Hours ","Sunday, August 3, 2025"
"5171","1:00 PM - 1:30 PM ","JSM Spotlight Kick-Off, sponsored by Westat","JSM Hours ","Sunday, August 3, 2025"
"4304","1:00 PM - 5:00 PM ","Statistical Genetics and Genomics: Fundamentals and Advanced Topics","Professional Development Course/CE ","Sunday, August 3, 2025"
"4306","1:00 PM - 5:00 PM ","Understanding Collider Bias in Biostatistical Analysis","Professional Development Course/CE ","Sunday, August 3, 2025"
"4321","1:00 PM - 5:00 PM ","Unlocking the Power of Semiparametric Models: A Practical Tutorial for Analyzing Complex Data with Minimum Assumptions","Professional Development Course/CE ","Sunday, August 3, 2025"
"1074","2:00 PM - 3:50 PM ","Advanced Statistical and Machine Learning based methods for Spatial Biology","Invited Paper Session ","Sunday, August 3, 2025"
"2118","2:00 PM - 3:50 PM ","Advances in Adaptive Experimentation and Anytime-Valid Inference","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2112","2:00 PM - 3:50 PM ","Advances in Bayesian Methods for Complex Structured Data and Dependency Modeling.","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2825","2:00 PM - 3:50 PM ","Advances in Causal Inference Methodology","Contributed Papers ","Sunday, August 3, 2025"
"2256","2:00 PM - 3:50 PM ","Astrostatistics Interest Group: Student Paper Award","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2847","2:00 PM - 3:50 PM ","Bayesian Analysis of Massive and Complex Data Sets","Contributed Papers ","Sunday, August 3, 2025"
"2853","2:00 PM - 3:50 PM ","Bayesian Hierarchical and Latent Variable Models: New Directions","Contributed Papers ","Sunday, August 3, 2025"
"1556","2:00 PM - 3:50 PM ","Bayesian Methods for Structured, Heterogeneous and High-Dimensional Neuroimaging Data","Invited Paper Session ","Sunday, August 3, 2025"
"2916","2:00 PM - 3:50 PM ","Bayesian Methods in Epidemiological Studies","Contributed Papers ","Sunday, August 3, 2025"
"1388","2:00 PM - 3:50 PM ","Building Strong ASA Student Chapters: Strategies for Growth, Inclusivity, and Maximizing Value","Invited Panel Session ","Sunday, August 3, 2025"
"5097","2:00 PM - 4:00 PM ","Career Development Panel: Networking Like a Pro: a Guided Networking Session (FREE - NO REGISTRATION REQUIRED) — Professional Skills Development","Professional Skills Development ","Sunday, August 3, 2025"
"1430","2:00 PM - 3:50 PM ","Celebrating Don Dillman","Invited Paper Session ","Sunday, August 3, 2025"
"2835","2:00 PM - 3:50 PM ","Clinical Trial and Observational Studies: New Design and Estimation Techniques","Contributed Papers ","Sunday, August 3, 2025"
"2873","2:00 PM - 3:50 PM ","Computing Advances in Sampling Methodology & Categorical Data","Contributed Papers ","Sunday, August 3, 2025"
"1057","2:00 PM - 3:50 PM ","Conformal inference and statistical testing for reliable deployment of AI/ML models","Invited Paper Session ","Sunday, August 3, 2025"
"1352","2:00 PM - 3:50 PM ","Creating Something from Nothing? Synthetic Data Analysis for Social Good and Policy Making","Invited Paper Session ","Sunday, August 3, 2025"
"1478","2:00 PM - 3:50 PM ","From Screening to Analysis: Harnessing Large Language Models in Clinical Development","Invited Paper Session ","Sunday, August 3, 2025"
"1187","2:00 PM - 3:50 PM ","Functional Data Analysis in The Era of Digital Health","Invited Paper Session ","Sunday, August 3, 2025"
"4420","2:00 PM - 4:00 PM ","IMS Executive Committee Meeting","Affiliate Meetings and Events ","Sunday, August 3, 2025"
"1247","2:00 PM - 3:50 PM ","IMS Medallion Award & Lecture I","Invited Paper Session ","Sunday, August 3, 2025"
"2313","2:00 PM - 3:50 PM ","Innovating Drug Development through Advanced Statistical and AI Methods for Digital Wearable Sensor Data","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2838","2:00 PM - 3:50 PM ","Innovations in Statistical Learning and Inference for Complex Data Structures","Contributed Papers ","Sunday, August 3, 2025"
"2821","2:00 PM - 3:50 PM ","Innovative Applications in Modeling Public Health, Election, Economic, Business, and Transportation Statistics","Contributed Papers ","Sunday, August 3, 2025"
"2412","2:00 PM - 3:50 PM ","Innovative Statistical and Computational Approaches for Multi-modal Data in Ophthalmology Research","Topic-Contributed Paper Session ","Sunday, August 3, 2025"
"2801","2:00 PM - 3:50 PM ","Integrating PK/PD and Biomarkers: Enhancing Precision in Clinical Trials","Contributed Papers ","Sunday, August 3, 2025"
"1510","2:00 PM - 3:50 PM ","Methodological advances for point processes on complex domains","Invited Paper Session ","Sunday, August 3, 2025"
"2868","2:00 PM - 3:50 PM ","Monte Carlo Methods & Simulation","Contributed Papers ","Sunday, August 3, 2025"
"1617","2:00 PM - 3:50 PM ","New Perspectives on Spatial Confounding","Invited Paper Session ","Sunday, August 3, 2025"
"2941","2:00 PM - 3:50 PM ","Non-probability samples, administrative records, and data fusion","Contributed Papers ","Sunday, August 3, 2025"
